ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
CAT-13a,CAT-13m,0.08,0.78,0.44,0.7
CAT-13a,CAT-17g,-0.9,1.45,0.63,2.35
CAT-13a,CAT-17i,-0.63,1.44,0.73,2.07
CAT-13b,CAT-17g,-0.62,1.22,1.2,1.84
CAT-13c,CAT-17i,-0.15,1.29,1.24,1.44
CAT-13d,CAT-13b,1.35,2.08,0.64,0.73
CAT-13d,CAT-13f,1.38,0.54,1.14,0.84
CAT-13d,CAT-13h,0.84,-0.02,0.08,0.86
CAT-13d,CAT-13i,1.2,0.44,0.27,0.76
CAT-13d,CAT-17a,-0.26,0.1,0.26,0.36
CAT-13d,CAT-17d,1.05,3.67,0.24,2.62
CAT-13d,CAT-17h,0.14,-0.11,0.58,0.25
CAT-13e,CAT-17g,0.22,3.95,0.47,3.73
CAT-13e,CAT-17i,0.49,2.07,0.38,1.58
CAT-13g,CAT-17g,-0.65,2.88,0.89,3.53
CAT-13g,CAT-17i,-0.38,1.64,0.69,2.02
CAT-13h,CAT-17i,0.16,2.05,2.0,1.89
CAT-13j,CAT-4o,-0.65,0.29,0.72,0.94
CAT-13k,CAT-4b,0.07,-0.34,0.14,0.41
CAT-13k,CAT-4d,0.59,1.06,0.53,0.47
CAT-13n,CAT-13a,-0.3,-0.57,1.15,0.27
CAT-13n,CAT-13k,-1.16,-1.13,0.82,0.03
CAT-13n,CAT-4i,0.28,0.64,0.96,0.36
CAT-13o,CAT-17h,-1.79,0.36,0.67,2.15
CAT-13o,CAT-17i,-0.93,1.89,0.47,2.82
CAT-17b,CAT-13d,-0.45,-1.0,0.66,0.55
CAT-17b,CAT-17e,0.0,0.87,0.64,0.87
CAT-17c,CAT-17e,-0.16,0.31,0.31,0.47
CAT-17f,CAT-17e,-0.6,-0.02,0.39,0.58
CAT-17g,CAT-13c,0.42,-1.79,0.28,2.21
CAT-17g,CAT-13i,0.47,-2.66,0.66,3.13
CAT-17g,CAT-17c,-0.12,-0.67,0.5,0.55
CAT-17g,CAT-17d,0.32,0.68,0.79,0.36
CAT-17g,CAT-17f,0.32,0.42,1.13,0.1
CAT-17i,CAT-13f,0.38,-2.34,1.05,2.72
CAT-17i,CAT-17a,-1.26,-1.76,1.91,0.5
CAT-24,CAT-17e,1.33,1.87,0.72,0.55
CAT-24,CAT-17i,1.88,3.46,1.38,1.59
CAT-4a,CAT-13k,-1.77,-2.48,0.82,0.71
CAT-4a,CAT-4o,-1.45,-0.49,0.16,0.96
CAT-4c,CAT-4o,-1.53,-0.68,1.07,0.85
CAT-4i,CAT-13m,-0.5,-1.09,0.87,0.59
CAT-4j,CAT-4o,-0.36,-0.0,0.71,0.36
CAT-4k,CAT-4o,-1.53,-2.1,0.66,0.57
CAT-4l,CAT-13k,-0.36,-0.81,0.44,0.45
CAT-4m,CAT-13j,0.42,1.51,0.44,1.09
CAT-4m,CAT-13k,-0.55,-0.71,0.38,0.16
CAT-4m,CAT-13m,0.39,0.44,0.27,0.05
CAT-4m,CAT-4c,1.3,2.59,0.29,1.29
CAT-4m,CAT-4j,0.13,1.09,0.66,0.96
CAT-4m,CAT-4k,1.3,3.16,0.33,1.86
CAT-4m,CAT-4l,-0.19,1.59,0.4,1.78
CAT-4m,CAT-4n,0.06,-0.12,0.48,0.18
CAT-4m,CAT-4p,-0.93,-1.3,0.71,0.37
CAT-4n,CAT-13k,-0.61,-0.92,0.41,0.31
CAT-4o,CAT-4b,-0.25,-2.28,0.17,2.03
CAT-4o,CAT-4d,0.27,-1.75,0.9,2.02
CAT-4p,CAT-13k,0.38,1.69,0.61,1.31
