ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
17,1h1q,-1.14,-0.21,0.08,0.93
17,21,-0.79,2.22,1.52,3.01
17,22,-0.82,2.39,0.24,3.21
1h1r,1oi9,-2.07,-1.94,0.57,0.13
1h1r,21,-0.16,2.36,0.56,2.52
1h1s,1oiy,1.46,1.44,0.61,0.02
1h1s,26,2.82,2.53,0.04,0.29
1oi9,20,1.02,1.17,0.33,0.15
1oiu,1h1q,0.9,2.35,0.34,1.45
1oiu,26,0.65,0.63,0.85,0.02
1oiy,1h1q,1.61,1.62,0.94,0.01
1oiy,1oi9,0.05,0.07,0.69,0.02
1oiy,29,-0.09,0.49,0.22,0.58
1oiy,31,0.25,0.81,0.04,0.56
1oiy,32,0.04,0.74,0.1,0.7
20,1h1q,0.54,0.64,0.08,0.1
22,1h1r,0.19,-2.33,0.16,2.52
26,1h1q,0.25,0.76,0.32,0.51
26,1oi9,-1.31,-1.03,0.16,0.28
28,26,2.68,2.98,0.89,0.3
28,31,1.57,2.52,0.58,0.95
29,26,1.45,1.01,0.59,0.44
30,26,1.38,0.81,0.14,0.57
30,31,0.27,0.58,0.71,0.31
31,32,-0.21,2.13,1.13,2.34
