ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
17,1h1q,-1.14,1.46,0.5,2.6
17,21,-0.79,1.88,0.53,2.67
17,22,-0.82,1.95,0.76,2.77
1h1r,1oi9,-2.07,0.36,0.26,2.43
1h1r,21,-0.16,2.53,0.57,2.69
1h1s,1oiy,1.46,0.2,0.85,1.26
1h1s,26,2.82,1.42,0.59,1.4
1oi9,20,1.02,0.81,0.63,0.21
1oiu,1h1q,0.9,2.46,0.85,1.56
1oiu,26,0.65,2.2,0.56,1.55
1oiy,1h1q,1.61,1.58,0.6,0.03
1oiy,1oi9,0.05,0.72,0.23,0.67
1oiy,29,-0.09,0.44,0.38,0.53
1oiy,31,0.25,1.29,0.48,1.04
1oiy,32,0.04,0.4,0.99,0.36
20,1h1q,0.54,-0.72,0.54,1.26
22,1h1r,0.19,-2.01,0.48,2.2
26,1h1q,0.25,0.79,0.26,0.54
26,1oi9,-1.31,-1.11,1.07,0.2
28,26,2.68,2.42,1.09,0.26
28,31,1.57,2.26,0.2,0.69
29,26,1.45,1.08,1.21,0.37
30,26,1.38,0.34,0.81,1.04
30,31,0.27,1.91,1.8,1.64
31,32,-0.21,-0.46,1.11,0.25
