ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
17124-1,18631-1,0.27,2.59,0.69,2.32
17124-1,18634-1,-0.31,0.1,0.99,0.41
18626-1,18624-1,0.38,-0.4,1.0,0.78
18626-1,18625-1,0.76,1.65,0.88,0.89
18626-1,18627-1,0.39,0.27,0.48,0.12
18626-1,18628-1,0.17,2.09,0.28,1.92
18626-1,18630-1,-0.27,0.4,0.9,0.67
18626-1,18632-1,-0.21,0.66,0.13,0.87
18626-1,18634-1,-1.12,-2.53,0.83,1.41
18626-1,18658-1,-0.83,-1.06,0.1,0.23
18626-1,18659-1,-0.6,-1.26,0.46,0.66
18626-1,18660-1,0.17,-1.84,0.07,2.01
18627-1,18630-1,-0.66,0.24,0.04,0.9
18627-1,18633-1,-0.69,-0.71,0.45,0.02
18628-1,18624-1,0.21,-0.12,0.78,0.33
18629-1,18624-1,0.18,0.27,0.48,0.09
18629-1,18627-1,0.19,-1.27,0.47,1.46
18631-1,18624-1,0.92,2.6,0.38,1.68
18631-1,18652-1,-1.27,-0.53,1.43,0.74
18631-1,18660-1,0.71,0.86,0.1,0.15
18632-1,18624-1,0.59,0.7,1.1,0.11
18633-1,18624-1,0.68,1.04,0.29,0.36
18634-1,18637-1,-0.15,0.2,0.68,0.35
18634-1,18652-1,-0.69,0.2,0.38,0.89
18635-1,18624-1,-1.2,-0.48,0.32,0.72
18635-1,18625-1,-0.82,0.54,0.33,1.36
18636-1,18624-1,-0.98,1.04,0.1,2.02
18636-1,18625-1,-0.6,1.72,0.44,2.32
18637-1,18631-1,0.73,1.3,0.81,0.57
18638-1,18634-1,0.1,1.08,0.55,0.98
18638-1,18658-1,0.39,0.5,0.58,0.11
18639-1,18634-1,-0.25,0.18,0.28,0.43
18639-1,18658-1,0.04,-0.93,0.91,0.97
18659-1,18634-1,-0.52,-0.15,0.57,0.37
