ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
17124-1,18631-1,0.27,2.06,0.37,1.79
17124-1,18634-1,-0.31,0.57,1.09,0.88
18626-1,18624-1,0.38,0.68,0.27,0.3
18626-1,18625-1,0.76,1.11,0.25,0.35
18626-1,18627-1,0.39,0.84,0.51,0.45
18626-1,18628-1,0.17,1.45,0.46,1.28
18626-1,18630-1,-0.27,0.95,0.45,1.22
18626-1,18632-1,-0.21,0.75,0.52,0.96
18626-1,18634-1,-1.12,-1.53,0.95,0.41
18626-1,18658-1,-0.83,-0.77,0.26,0.06
18626-1,18659-1,-0.6,-0.95,0.44,0.35
18626-1,18660-1,0.17,-0.23,1.07,0.4
18627-1,18630-1,-0.66,0.34,0.47,1.0
18627-1,18633-1,-0.69,-0.13,0.2,0.56
18628-1,18624-1,0.21,-0.23,0.68,0.44
18629-1,18624-1,0.18,1.03,0.63,0.85
18629-1,18627-1,0.19,1.44,0.14,1.25
18631-1,18624-1,0.92,2.8,0.27,1.88
18631-1,18652-1,-1.27,-1.09,0.64,0.18
18631-1,18660-1,0.71,-0.04,0.73,0.75
18632-1,18624-1,0.59,1.26,0.27,0.67
18633-1,18624-1,0.68,0.64,0.39,0.04
18634-1,18637-1,-0.15,-0.95,0.73,0.8
18634-1,18652-1,-0.69,-0.51,0.6,0.18
18635-1,18624-1,-1.2,1.96,0.65,3.16
18635-1,18625-1,-0.82,1.25,0.11,2.07
18636-1,18624-1,-0.98,1.34,0.63,2.32
18636-1,18625-1,-0.6,0.16,0.15,0.76
18637-1,18631-1,0.73,2.1,0.38,1.37
18638-1,18634-1,0.1,0.08,0.34,0.02
18638-1,18658-1,0.39,1.45,0.45,1.06
18639-1,18634-1,-0.25,1.03,0.43,1.28
18639-1,18658-1,0.04,0.77,0.45,0.73
18659-1,18634-1,-0.52,-0.07,0.13,0.45
