ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
26,44,-0.43,-0.13,0.1,0.3
26,57,-0.8,-0.69,0.36,0.11
26,64,-1.26,-1.49,0.1,0.23
27,23,-2.71,-0.97,0.08,1.74
27,45,-2.83,-1.62,0.69,1.21
27,46,-1.48,-2.45,0.67,0.97
28,27,0.5,0.86,0.79,0.36
28,35,-2.19,-1.35,0.76,0.84
28,47,0.84,0.44,0.07,0.4
29,27,0.82,0.21,0.57,0.61
29,35,-1.87,-0.95,0.27,0.92
29,40,-0.31,2.85,0.79,3.16
30,27,1.73,1.5,0.1,0.23
30,35,-0.96,-1.02,0.1,0.06
30,40,0.6,1.71,0.01,1.11
30,48,1.19,0.62,0.41,0.57
31,35,-0.89,0.22,0.13,1.11
32,34,-0.29,-0.17,0.1,0.12
32,46,-1.02,-1.1,0.34,0.08
33,27,0.76,1.77,0.32,1.01
35,33,1.93,0.17,0.58,1.76
35,34,1.94,2.0,0.8,0.06
35,36,0.63,-0.01,0.78,0.64
35,37,-0.14,-0.27,0.1,0.13
35,39,1.78,1.2,0.38,0.58
35,53,-1.15,-1.36,0.1,0.21
35,60,-0.11,-0.37,0.95,0.26
38,35,-1.79,-1.53,0.31,0.26
38,60,-1.9,0.08,0.41,1.98
39,32,0.45,1.96,0.19,1.51
41,32,0.55,1.58,1.11,1.03
41,35,-1.68,0.2,0.19,1.88
42,51,0.45,-1.32,0.45,1.77
42,64,-0.6,-0.39,0.62,0.21
43,27,0.91,1.46,0.1,0.55
43,47,1.25,1.42,0.1,0.17
44,23,-0.16,0.1,0.1,0.26
48,27,0.54,-0.04,0.57,0.58
49,35,-0.45,1.45,0.4,1.9
49,67,0.78,1.57,0.15,0.79
50,60,0.41,1.12,0.33,0.71
51,45,-0.5,0.79,0.23,1.29
52,60,0.31,0.84,0.06,0.53
54,23,0.95,0.74,0.84,0.21
54,42,0.88,0.87,0.1,0.01
56,35,0.45,-0.69,0.02,1.14
56,60,0.34,1.49,0.1,1.15
57,23,0.21,0.49,0.1,0.28
58,60,0.49,1.78,0.21,1.29
60,36,0.74,-0.15,0.35,0.89
61,60,-0.84,1.86,0.76,2.7
62,26,-0.28,2.37,0.41,2.65
62,45,-0.99,1.75,0.16,2.74
63,60,0.14,1.33,0.72,1.19
65,60,-0.51,1.05,0.2,1.56
65,67,0.83,0.7,0.46,0.13
66,23,-0.4,1.34,0.48,1.74
66,42,-0.47,2.46,0.15,2.93
67,27,1.46,1.41,0.24,0.05
67,31,-0.34,-0.31,0.13,0.03
67,32,1.0,0.71,0.1,0.29
67,35,-1.23,-0.19,0.35,1.04
67,37,-1.37,0.39,0.43,1.76
67,50,-1.75,-1.06,0.37,0.69
67,52,-1.65,-0.36,0.18,1.29
67,53,-2.38,-1.36,0.05,1.02
67,58,-1.83,-2.48,0.91,0.65
67,61,-0.5,-2.63,0.62,2.13
67,63,-1.48,-0.77,0.58,0.71
68,23,-1.14,0.54,0.08,1.68
68,45,-1.26,-0.76,0.38,0.5
