ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
26,44,-0.43,-0.14,0.1,0.29
26,57,-0.8,0.1,2.99,0.9
26,64,-1.26,-0.93,0.84,0.33
27,23,-2.71,-2.88,0.71,0.17
27,45,-2.83,-2.64,0.65,0.19
27,46,-1.48,-1.92,2.34,0.44
28,27,0.5,0.96,0.91,0.46
28,35,-2.19,-1.74,0.53,0.45
28,47,0.84,0.36,1.57,0.48
29,27,0.82,-1.32,0.58,2.14
29,35,-1.87,-3.78,1.06,1.91
29,40,-0.31,-2.78,1.68,2.47
30,27,1.73,2.34,0.85,0.61
30,35,-0.96,0.71,0.53,1.67
30,40,0.6,0.16,0.36,0.44
30,48,1.19,4.75,0.44,3.56
31,35,-0.89,2.22,1.99,3.11
32,34,-0.29,-1.89,0.96,1.6
32,46,-1.02,-1.88,0.3,0.86
33,27,0.76,2.06,0.67,1.3
35,33,1.93,2.62,2.47,0.69
35,34,1.94,1.59,0.53,0.35
35,36,0.63,-0.44,0.49,1.07
35,37,-0.14,-1.09,0.43,0.95
35,39,1.78,3.14,1.74,1.36
35,53,-1.15,-2.63,1.0,1.48
35,60,-0.11,-0.92,1.35,0.81
38,35,-1.79,-4.43,0.72,2.64
38,60,-1.9,-5.85,0.07,3.95
39,32,0.45,-0.39,1.98,0.84
41,32,0.55,1.52,0.28,0.97
41,35,-1.68,-0.81,1.13,0.87
42,51,0.45,0.53,1.74,0.08
42,64,-0.6,-1.58,0.05,0.98
43,27,0.91,0.89,0.33,0.02
43,47,1.25,1.5,0.19,0.25
44,23,-0.16,0.27,1.29,0.43
48,27,0.54,-0.94,1.96,1.48
49,35,-0.45,-1.85,0.03,1.4
49,67,0.78,-2.99,1.08,3.77
50,60,0.41,-3.68,1.03,4.09
51,45,-0.5,-3.0,0.16,2.5
52,60,0.31,1.28,1.25,0.97
54,23,0.95,1.58,0.59,0.63
54,42,0.88,2.49,0.58,1.61
56,35,0.45,2.7,1.14,2.25
56,60,0.34,1.13,1.85,0.79
57,23,0.21,0.18,0.61,0.03
58,60,0.49,1.64,1.71,1.15
60,36,0.74,1.11,1.47,0.37
61,60,-0.84,-0.44,1.38,0.4
62,26,-0.28,0.7,0.48,0.98
62,45,-0.99,-2.0,0.43,1.01
63,60,0.14,1.76,2.25,1.62
65,60,-0.51,0.03,0.12,0.54
65,67,0.83,0.94,1.55,0.11
66,23,-0.4,2.6,2.53,3.0
66,42,-0.47,5.6,0.28,6.07
67,27,1.46,4.14,0.15,2.68
67,31,-0.34,0.77,1.93,1.11
67,32,1.0,3.3,0.47,2.3
67,35,-1.23,1.63,0.38,2.86
67,37,-1.37,0.91,1.6,2.28
67,50,-1.75,4.07,2.46,5.82
67,52,-1.65,1.29,1.58,2.94
67,53,-2.38,-2.83,2.08,0.45
67,58,-1.83,-2.83,1.65,1.0
67,61,-0.5,1.55,1.48,2.05
67,63,-1.48,-2.22,0.1,0.74
68,23,-1.14,-0.76,1.05,0.38
68,45,-1.26,-2.13,2.41,0.87
