ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
ejm_31,ejm_43,1.28,0.39,0.09,0.89
ejm_31,ejm_45,-0.02,0.02,0.1,0.04
ejm_31,ejm_46,-1.77,-2.01,0.48,0.24
ejm_31,ejm_48,0.54,0.55,0.81,0.01
ejm_31,jmc_28,-1.44,-1.47,0.18,0.03
ejm_42,ejm_48,0.78,0.68,0.68,0.1
ejm_42,ejm_54,-0.75,-0.47,0.86,0.28
ejm_42,ejm_55,0.57,1.03,0.96,0.46
ejm_43,ejm_55,-0.95,-0.67,0.23,0.28
ejm_44,ejm_42,-2.36,-1.35,0.11,1.01
ejm_44,ejm_55,-1.79,-1.96,0.62,0.17
ejm_45,ejm_42,-0.22,1.31,0.15,1.53
ejm_47,ejm_31,0.16,0.78,0.3,0.62
ejm_47,ejm_55,0.49,1.07,0.25,0.58
ejm_49,ejm_31,-1.79,-0.58,0.29,1.21
ejm_49,ejm_50,-1.23,0.3,0.1,1.53
ejm_50,ejm_42,-0.8,-0.89,0.24,0.09
ejm_55,ejm_54,-1.32,-1.31,0.88,0.01
jmc_23,ejm_46,0.39,0.36,0.11,0.03
jmc_23,ejm_55,2.49,3.86,0.18,1.37
jmc_23,jmc_27,0.42,1.69,0.1,1.27
jmc_23,jmc_30,0.76,1.65,0.28,0.89
jmc_28,jmc_27,-0.3,-0.39,0.98,0.09
jmc_28,jmc_30,0.04,-0.84,0.48,0.88
