ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
ejm_31,ejm_43,1.28,1.49,0.21,0.21
ejm_31,ejm_45,-0.02,-0.03,0.29,0.01
ejm_31,ejm_46,-1.77,-0.44,0.51,1.33
ejm_31,ejm_48,0.54,0.91,0.16,0.37
ejm_31,jmc_28,-1.44,0.82,1.13,2.26
ejm_42,ejm_48,0.78,0.68,0.1,0.1
ejm_42,ejm_54,-0.75,-1.58,0.15,0.83
ejm_42,ejm_55,0.57,0.07,0.95,0.5
ejm_43,ejm_55,-0.95,-1.72,0.77,0.77
ejm_44,ejm_42,-2.36,-2.42,0.18,0.06
ejm_44,ejm_55,-1.79,-2.85,0.34,1.06
ejm_45,ejm_42,-0.22,0.16,0.09,0.38
ejm_47,ejm_31,0.16,0.15,0.53,0.01
ejm_47,ejm_55,0.49,0.32,0.72,0.17
ejm_49,ejm_31,-1.79,-0.83,0.36,0.96
ejm_49,ejm_50,-1.23,-0.26,0.7,0.97
ejm_50,ejm_42,-0.8,-0.32,0.32,0.48
ejm_55,ejm_54,-1.32,-1.55,0.64,0.23
jmc_23,ejm_46,0.39,0.65,0.25,0.26
jmc_23,ejm_55,2.49,0.87,0.47,1.62
jmc_23,jmc_27,0.42,-0.02,0.3,0.44
jmc_23,jmc_30,0.76,-0.83,0.83,1.59
jmc_28,jmc_27,-0.3,-0.85,0.08,0.55
jmc_28,jmc_30,0.04,0.15,0.74,0.11
