ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
2aa,2bb,0.21,2.1,0.86,1.89
2aa,2z,-1.09,-1.53,0.66,0.44
2aa,3flw,-1.41,-1.76,0.26,0.35
2bb,2v,0.09,-0.55,0.43,0.64
2c,3flz,0.97,-0.28,0.31,1.25
2ee,3fln,1.38,0.28,0.38,1.1
2ff,3fln,0.56,0.44,0.22,0.12
2g,2c,0.2,1.89,0.05,1.69
2g,2f,2.18,1.67,0.21,0.51
2g,2h,1.18,0.84,0.12,0.34
2g,2i,0.61,2.27,0.26,1.66
2g,3fln,-0.22,-0.3,0.1,0.08
2g,3flz,1.17,1.29,0.1,0.12
2gg,3fln,-0.22,-1.16,0.1,0.94
2i,3fln,-0.83,-1.75,0.1,0.92
2j,2e,-0.62,-0.4,0.3,0.22
2j,2ee,-2.18,-1.9,0.63,0.28
2j,2f,1.6,0.77,0.16,0.83
2j,2ff,-1.36,-2.27,0.18,0.91
2j,2gg,-0.58,-0.23,0.24,0.35
2j,2h,0.6,-0.3,0.1,0.9
2j,2l,-2.18,-3.22,0.41,1.04
2j,2m,-0.88,-3.17,0.01,2.29
2j,2q,-2.18,-2.38,0.41,0.2
2j,2r,-0.71,-1.4,0.29,0.69
2j,2t,-1.77,-1.79,0.54,0.02
2j,2v,1.11,1.97,0.56,0.86
2k,2m,-0.41,-2.47,0.37,2.06
2k,3fln,-0.33,-0.81,0.27,0.48
2l,2n,0.41,1.34,0.65,0.93
2l,2o,1.77,4.01,0.17,2.24
2l,2p,1.06,3.45,0.33,2.39
2l,2s,1.15,1.05,0.49,0.1
2n,3fln,0.97,0.14,0.39,0.83
2o,3fln,-0.39,-1.13,0.36,0.74
2p,3fln,0.32,-0.72,0.68,1.04
2q,2u,0.0,0.95,1.09,0.95
2t,3fln,0.97,1.6,0.1,0.63
2u,2k,1.71,1.76,0.5,0.05
2v,3fly,-2.45,-2.75,0.34,0.3
2x,2v,1.26,2.28,0.05,1.02
2x,3fly,-1.19,-0.98,0.22,0.21
2y,2v,0.81,1.87,0.22,1.06
2y,2z,-0.58,0.17,0.1,0.75
3fln,2e,0.18,1.08,0.1,0.9
3fln,2r,0.09,0.65,0.64,0.56
3fln,2s,-0.23,1.43,0.6,1.66
3fln,2v,1.91,3.65,0.32,1.74
3fln,3flz,1.39,1.37,0.1,0.02
3flq,2z,-0.43,-2.79,0.4,2.36
3flq,3fly,-1.49,-3.31,0.18,1.82
3flw,2z,0.32,0.46,0.1,0.14
3fmh,2v,1.86,3.34,0.38,1.48
3fmh,3fly,-0.59,-0.09,0.28,0.5
3fmk,2v,2.86,3.94,0.28,1.08
3fmk,2z,1.47,1.47,0.09,0.0
