ligand1,ligand2,exp_ddG,avg_ddG,std_ddG,MAE
2aa,2bb,0.21,-0.27,1.23,0.48
2aa,2z,-1.09,-1.0,0.48,0.09
2aa,3flw,-1.41,-2.01,0.32,0.6
2bb,2v,0.09,0.74,0.37,0.65
2c,3flz,0.97,1.27,0.74,0.3
2ee,3fln,1.38,0.18,0.59,1.2
2ff,3fln,0.56,1.04,0.68,0.48
2g,2c,0.2,0.31,0.05,0.11
2g,2f,2.18,2.21,1.51,0.03
2g,2h,1.18,4.77,0.51,3.59
2g,2i,0.61,0.86,0.58,0.25
2g,3fln,-0.22,-0.11,0.53,0.11
2g,3flz,1.17,0.76,0.2,0.41
2gg,3fln,-0.22,-1.1,0.43,0.88
2i,3fln,-0.83,-0.44,0.39,0.39
2j,2e,-0.62,0.77,0.16,1.39
2j,2ee,-2.18,0.4,0.02,2.58
2j,2f,1.6,0.23,0.05,1.37
2j,2ff,-1.36,-0.92,0.07,0.44
2j,2gg,-0.58,0.39,0.42,0.97
2j,2h,0.6,4.16,0.88,3.56
2j,2l,-2.18,-2.23,1.02,0.05
2j,2m,-0.88,-1.93,0.37,1.05
2j,2q,-2.18,-1.54,0.94,0.64
2j,2r,-0.71,-0.05,0.31,0.66
2j,2t,-1.77,-1.6,0.75,0.17
2j,2v,1.11,1.68,0.38,0.57
2k,2m,-0.41,-2.0,0.7,1.59
2k,3fln,-0.33,-0.97,0.44,0.64
2l,2n,0.41,1.98,0.57,1.57
2l,2o,1.77,1.62,0.44,0.15
2l,2p,1.06,1.6,0.32,0.54
2l,2s,1.15,0.75,0.7,0.4
2n,3fln,0.97,0.97,0.23,0.0
2o,3fln,-0.39,0.34,1.46,0.73
2p,3fln,0.32,0.76,0.54,0.44
2q,2u,0.0,0.32,0.89,0.32
2t,3fln,0.97,1.44,0.78,0.47
2u,2k,1.71,3.34,1.43,1.63
2v,3fly,-2.45,-2.93,0.37,0.48
2x,2v,1.26,1.3,0.48,0.04
2x,3fly,-1.19,-1.5,0.03,0.31
2y,2v,0.81,1.76,0.34,0.95
2y,2z,-0.58,-0.05,0.09,0.53
3fln,2e,0.18,1.59,0.32,1.41
3fln,2r,0.09,-0.58,0.96,0.67
3fln,2s,-0.23,-0.53,0.95,0.3
3fln,2v,1.91,3.64,0.26,1.73
3fln,3flz,1.39,1.2,0.37,0.19
3flq,2z,-0.43,-0.19,0.83,0.24
3flq,3fly,-1.49,-0.91,0.67,0.58
3flw,2z,0.32,1.52,0.46,1.2
3fmh,2v,1.86,2.92,0.28,1.06
3fmh,3fly,-0.59,0.21,0.22,0.8
3fmk,2v,2.86,4.5,0.06,1.64
3fmk,2z,1.47,3.09,0.06,1.62
