protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
BACE,CAT-13a,-8.84,-9.346388888888885,0.36
BACE,CAT-13b,-9.12,-9.276388888888885,0.59
BACE,CAT-13c,-9.32,-9.846388888888885,0.39
BACE,CAT-13d,-10.47,-10.856388888888885,0.41
BACE,CAT-13e,-9.96,-11.486388888888886,0.43
BACE,CAT-13f,-9.09,-9.166388888888886,0.49
BACE,CAT-13g,-9.09,-8.066388888888886,0.6
BACE,CAT-13h,-9.63,-9.886388888888886,0.45
BACE,CAT-13i,-9.27,-10.196388888888885,0.45
BACE,CAT-13j,-8.73,-9.496388888888886,0.58
BACE,CAT-13k,-9.7,-9.956388888888885,0.47
BACE,CAT-13m,-8.76,-10.466388888888886,0.43
BACE,CAT-13n,-8.54,-8.416388888888886,0.61
BACE,CAT-13o,-8.54,-10.006388888888885,0.55
BACE,CAT-17a,-10.73,-10.126388888888886,0.71
BACE,CAT-17b,-10.02,-10.936388888888885,0.98
BACE,CAT-17c,-9.86,-9.376388888888885,0.55
BACE,CAT-17d,-9.42,-8.216388888888886,0.42
BACE,CAT-17e,-10.02,-9.506388888888885,0.55
BACE,CAT-17f,-9.42,-9.246388888888886,0.54
BACE,CAT-17g,-9.74,-9.456388888888885,0.38
BACE,CAT-17h,-10.33,-11.446388888888885,0.54
BACE,CAT-17i,-9.47,-10.086388888888886,0.38
BACE,CAT-24,-11.35,-11.906388888888886,0.59
BACE,CAT-4a,-7.93,-6.696388888888885,0.61
BACE,CAT-4b,-9.63,-10.726388888888886,0.58
BACE,CAT-4c,-7.85,-6.996388888888886,0.54
BACE,CAT-4d,-9.11,-9.796388888888886,0.7
BACE,CAT-4i,-8.26,-7.746388888888886,0.73
BACE,CAT-4j,-9.02,-7.666388888888886,0.6
BACE,CAT-4k,-7.85,-6.726388888888886,0.51
BACE,CAT-4l,-9.34,-6.226388888888886,0.46
BACE,CAT-4m,-9.15,-10.036388888888885,0.46
BACE,CAT-4n,-9.09,-8.166388888888886,0.49
BACE,CAT-4o,-9.38,-9.126388888888885,0.53
BACE,CAT-4p,-10.08,-9.446388888888885,0.71
