protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
BACE,CAT-13a,-8.84,-9.836388888888886,0.35
BACE,CAT-13b,-9.12,-8.876388888888885,0.67
BACE,CAT-13c,-9.32,-9.746388888888886,0.44
BACE,CAT-13d,-10.47,-10.876388888888886,0.43
BACE,CAT-13e,-9.96,-11.396388888888886,0.44
BACE,CAT-13f,-9.09,-10.886388888888886,0.83
BACE,CAT-13g,-9.09,-10.706388888888885,0.63
BACE,CAT-13h,-9.63,-10.896388888888886,0.44
BACE,CAT-13i,-9.27,-10.456388888888885,0.47
BACE,CAT-13j,-8.73,-8.116388888888885,0.54
BACE,CAT-13k,-9.7,-9.976388888888886,0.43
BACE,CAT-13m,-8.76,-9.106388888888885,0.39
BACE,CAT-13n,-8.54,-8.916388888888886,0.65
BACE,CAT-13o,-8.54,-10.996388888888886,0.54
BACE,CAT-17a,-10.73,-10.776388888888885,0.5
BACE,CAT-17b,-10.02,-9.636388888888886,0.6
BACE,CAT-17c,-9.86,-8.776388888888885,0.5
BACE,CAT-17d,-9.42,-7.206388888888886,0.47
BACE,CAT-17e,-10.02,-8.536388888888885,0.51
BACE,CAT-17f,-9.42,-8.406388888888886,0.6
BACE,CAT-17g,-9.74,-7.926388888888885,0.36
BACE,CAT-17h,-10.33,-10.836388888888886,0.58
BACE,CAT-17i,-9.47,-9.006388888888885,0.4
BACE,CAT-24,-11.35,-10.846388888888885,0.76
BACE,CAT-4a,-7.93,-7.536388888888886,0.47
BACE,CAT-4b,-9.63,-10.306388888888886,0.44
BACE,CAT-4c,-7.85,-6.986388888888886,0.48
BACE,CAT-4d,-9.11,-9.136388888888886,0.62
BACE,CAT-4i,-8.26,-8.136388888888886,0.75
BACE,CAT-4j,-9.02,-8.256388888888885,0.62
BACE,CAT-4k,-7.85,-6.2963888888888855,0.49
BACE,CAT-4l,-9.34,-8.506388888888885,0.49
BACE,CAT-4m,-9.15,-9.556388888888886,0.4
BACE,CAT-4n,-9.09,-9.316388888888886,0.5
BACE,CAT-4o,-9.38,-8.026388888888885,0.45
BACE,CAT-4p,-10.08,-11.316388888888886,0.6
