protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
CDK2,17,-7.04,-8.005,0.17
CDK2,1h1q,-8.18,-8.215,0.16
CDK2,1h1r,-7.67,-7.9750000000000005,0.25
CDK2,1h1s,-11.25,-11.535,0.15
CDK2,1oi9,-9.74,-10.025,0.17
CDK2,1oiu,-9.08,-10.435,0.33
CDK2,1oiy,-9.79,-10.165000000000001,0.23
CDK2,20,-8.72,-8.855,0.17
CDK2,21,-7.83,-5.635,0.54
CDK2,22,-7.86,-5.635,0.24
CDK2,26,-8.43,-9.005,0.15
CDK2,28,-11.11,-11.905000000000001,0.48
CDK2,29,-9.88,-9.715,0.28
CDK2,30,-9.81,-9.815000000000001,0.19
CDK2,31,-9.54,-9.355,0.24
CDK2,32,-9.75,-9.405000000000001,0.25
