protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
CDK2,17,-7.04,-9.375,0.38
CDK2,1h1q,-8.18,-8.095,0.25
CDK2,1h1r,-7.67,-9.525,0.28
CDK2,1h1s,-11.25,-10.145,0.49
CDK2,1oi9,-9.74,-9.115,0.23
CDK2,1oiu,-9.08,-10.855,0.5
CDK2,1oiy,-9.79,-9.835,0.22
CDK2,20,-8.72,-7.765000000000001,0.42
CDK2,21,-7.83,-7.265000000000001,0.44
CDK2,22,-7.86,-7.485,0.45
CDK2,26,-8.43,-8.785,0.26
CDK2,28,-11.11,-10.845,0.41
CDK2,29,-9.88,-9.435,0.39
CDK2,30,-9.81,-9.355,0.72
CDK2,31,-9.54,-8.575000000000001,0.38
CDK2,32,-9.75,-9.255,0.73
