protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
JNK1,17124-1,-9.68,-12.470476190476191,0.55
JNK1,18624-1,-8.49,-7.78047619047619,0.21
JNK1,18625-1,-8.11,-6.90047619047619,0.34
JNK1,18626-1,-8.87,-8.31047619047619,0.14
JNK1,18627-1,-8.48,-8.33047619047619,0.28
JNK1,18628-1,-8.7,-6.39047619047619,0.28
JNK1,18629-1,-8.67,-7.5404761904761894,0.37
JNK1,18630-1,-9.14,-8.09047619047619,0.28
JNK1,18631-1,-9.41,-10.890476190476189,0.16
JNK1,18632-1,-9.08,-7.67047619047619,0.19
JNK1,18633-1,-9.17,-8.88047619047619,0.3
JNK1,18634-1,-9.99,-10.28047619047619,0.3
JNK1,18635-1,-7.29,-7.3704761904761895,0.32
JNK1,18636-1,-7.51,-8.81047619047619,0.23
JNK1,18637-1,-10.14,-10.95047619047619,0.52
JNK1,18638-1,-10.09,-10.68047619047619,0.41
JNK1,18639-1,-9.74,-10.29047619047619,0.37
JNK1,18652-1,-10.68,-10.17047619047619,0.44
JNK1,18658-1,-9.7,-9.42047619047619,0.16
JNK1,18659-1,-9.47,-9.79047619047619,0.36
JNK1,18660-1,-8.7,-10.11047619047619,0.15
