protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
JNK1,17124-1,-9.68,-11.75047619047619,0.39
JNK1,18624-1,-8.49,-7.28047619047619,0.16
JNK1,18625-1,-8.11,-7.59047619047619,0.22
JNK1,18626-1,-8.87,-8.52047619047619,0.14
JNK1,18627-1,-8.48,-7.6204761904761895,0.25
JNK1,18628-1,-8.7,-7.06047619047619,0.38
JNK1,18629-1,-8.67,-9.02047619047619,0.27
JNK1,18630-1,-9.14,-7.43047619047619,0.34
JNK1,18631-1,-9.41,-9.82047619047619,0.22
JNK1,18632-1,-9.08,-8.37047619047619,0.26
JNK1,18633-1,-9.17,-7.78047619047619,0.27
JNK1,18634-1,-9.99,-10.04047619047619,0.23
JNK1,18635-1,-7.29,-8.86047619047619,0.24
JNK1,18636-1,-7.51,-7.80047619047619,0.25
JNK1,18637-1,-10.14,-11.720476190476191,0.36
JNK1,18638-1,-10.09,-10.35047619047619,0.32
JNK1,18639-1,-9.74,-10.60047619047619,0.34
JNK1,18652-1,-10.68,-10.720476190476191,0.44
JNK1,18658-1,-9.7,-9.32047619047619,0.23
JNK1,18659-1,-9.47,-9.93047619047619,0.24
JNK1,18660-1,-8.7,-9.51047619047619,0.59
