protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
MCL1,23,-8.83,-7.347619047619046,0.1
MCL1,26,-8.24,-7.267619047619046,0.15
MCL1,27,-6.12,-6.377619047619047,0.08
MCL1,28,-6.62,-6.887619047619047,0.16
MCL1,29,-6.94,-7.627619047619047,0.24
MCL1,30,-7.85,-7.747619047619047,0.09
MCL1,31,-7.92,-8.707619047619048,0.12
MCL1,32,-6.58,-7.397619047619047,0.12
MCL1,33,-6.88,-8.227619047619047,0.28
MCL1,34,-6.87,-7.557619047619047,0.15
MCL1,35,-8.81,-8.667619047619047,0.08
MCL1,36,-8.18,-7.337619047619047,0.33
MCL1,37,-8.95,-8.877619047619048,0.12
MCL1,38,-7.02,-7.087619047619047,0.25
MCL1,39,-7.03,-8.977619047619047,0.2
MCL1,40,-7.25,-6.037619047619047,0.09
MCL1,41,-7.13,-8.867619047619048,0.2
MCL1,42,-8.9,-7.267619047619046,0.29
MCL1,43,-7.03,-7.847619047619046,0.12
MCL1,44,-8.67,-7.417619047619047,0.13
MCL1,45,-8.95,-8.167619047619047,0.24
MCL1,46,-7.6,-8.567619047619047,0.31
MCL1,47,-5.78,-6.437619047619047,0.15
MCL1,48,-6.66,-6.857619047619047,0.33
MCL1,49,-8.36,-9.827619047619047,0.16
MCL1,50,-9.33,-8.587619047619047,0.25
MCL1,51,-8.45,-8.877619047619048,0.29
MCL1,52,-9.23,-7.847619047619046,0.11
MCL1,53,-9.96,-9.667619047619047,0.09
MCL1,54,-9.78,-8.137619047619047,0.3
MCL1,56,-9.26,-7.997619047619047,0.08
MCL1,57,-9.04,-7.847619047619046,0.14
MCL1,58,-9.41,-8.807619047619047,0.22
MCL1,60,-8.92,-6.917619047619047,0.1
MCL1,61,-8.08,-10.027619047619046,0.48
MCL1,62,-7.96,-9.877619047619048,0.26
MCL1,63,-9.06,-8.697619047619046,0.45
MCL1,64,-9.5,-8.727619047619047,0.17
MCL1,65,-8.41,-8.127619047619048,0.2
MCL1,66,-8.43,-9.637619047619047,0.3
MCL1,67,-7.58,-8.217619047619047,0.09
MCL1,68,-7.69,-7.867619047619047,0.12
