protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
TYK2,ejm_31,-9.54,-9.866249999999999,0.16
TYK2,ejm_42,-9.78,-9.65625,0.16
TYK2,ejm_43,-8.26,-8.36625,0.24
TYK2,ejm_44,-7.42,-7.20625,0.2
TYK2,ejm_45,-9.56,-9.82625,0.17
TYK2,ejm_46,-11.31,-10.15625,0.29
TYK2,ejm_47,-9.7,-10.09625,0.42
TYK2,ejm_48,-9.0,-8.97625,0.17
TYK2,ejm_49,-7.75,-9.04625,0.34
TYK2,ejm_50,-8.98,-9.33625,0.31
TYK2,ejm_54,-10.53,-11.25625,0.21
TYK2,ejm_55,-9.21,-9.92625,0.23
TYK2,jmc_23,-11.7,-10.76625,0.27
TYK2,jmc_27,-11.28,-10.84625,0.34
TYK2,jmc_28,-10.98,-9.99625,0.34
TYK2,jmc_30,-10.94,-10.62625,0.59
