protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
Thrombin,1a,-7.48,-7.157272727272726,0.28
Thrombin,1b,-8.46,-8.567272727272726,0.21
Thrombin,1c,-8.56,-8.967272727272727,0.39
Thrombin,1d,-8.25,-9.957272727272727,0.21
Thrombin,3a,-8.32,-9.287272727272725,0.27
Thrombin,3b,-7.86,-6.637272727272726,0.22
Thrombin,5,-7.58,-7.337272727272726,0.34
Thrombin,6a,-9.18,-8.987272727272726,0.21
Thrombin,6b,-8.89,-8.197272727272725,0.63
Thrombin,6e,-8.91,-9.247272727272726,0.46
Thrombin,7a,-8.22,-7.347272727272726,0.3
