protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
Thrombin,1a,-7.48,-6.577272727272726,0.57
Thrombin,1b,-8.46,-8.217272727272727,0.34
Thrombin,1c,-8.56,-8.537272727272725,0.66
Thrombin,1d,-8.25,-9.607272727272726,0.46
Thrombin,3a,-8.32,-8.747272727272726,0.66
Thrombin,3b,-7.86,-7.947272727272726,0.52
Thrombin,5,-7.58,-6.577272727272726,0.69
Thrombin,6a,-9.18,-10.727272727272727,0.52
Thrombin,6b,-8.89,-7.887272727272726,0.86
Thrombin,6e,-8.91,-8.777272727272726,0.88
Thrombin,7a,-8.22,-8.107272727272726,0.5
