protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
p38,2aa,-9.27,-8.744117647058825,0.33
p38,2bb,-9.06,-7.214117647058825,0.42
p38,2c,-10.46,-9.414117647058825,0.13
p38,2e,-10.7,-10.414117647058825,0.14
p38,2ee,-12.26,-11.834117647058825,0.33
p38,2f,-8.48,-9.454117647058826,0.17
p38,2ff,-11.44,-12.204117647058826,0.17
p38,2g,-10.66,-11.294117647058826,0.12
p38,2gg,-10.66,-10.324117647058825,0.14
p38,2h,-9.48,-10.434117647058825,0.13
p38,2i,-10.05,-9.644117647058826,0.14
p38,2j,-10.08,-10.124117647058824,0.12
p38,2k,-10.55,-10.694117647058825,0.23
p38,2l,-12.26,-13.544117647058826,0.24
p38,2m,-10.96,-13.294117647058826,0.12
p38,2n,-11.85,-11.774117647058825,0.34
p38,2o,-10.49,-9.684117647058825,0.25
p38,2p,-11.2,-10.224117647058826,0.35
p38,2q,-12.26,-12.594117647058825,0.39
p38,2r,-10.79,-11.404117647058825,0.28
p38,2s,-11.11,-11.514117647058825,0.4
p38,2t,-11.85,-13.044117647058826,0.15
p38,2u,-12.26,-12.314117647058826,0.49
p38,2v,-8.97,-7.914117647058825,0.2
p38,2x,-10.23,-10.184117647058825,0.2
p38,2y,-9.78,-10.124117647058824,0.24
p38,2z,-10.36,-10.024117647058825,0.24
p38,3fln,-10.88,-11.484117647058826,0.11
p38,3flq,-9.93,-7.604117647058825,0.28
p38,3flw,-10.68,-10.494117647058825,0.26
p38,3fly,-11.42,-10.984117647058826,0.24
p38,3flz,-9.49,-10.044117647058826,0.13
p38,3fmh,-10.83,-11.024117647058825,0.31
p38,3fmk,-11.83,-11.534117647058824,0.25
