protein,ligand,DG_exp,DG_ATM(MLE),uncertainty (kcal/mol)
p38,2aa,-9.27,-8.594117647058825,0.38
p38,2bb,-9.06,-8.714117647058826,0.38
p38,2c,-10.46,-10.784117647058824,0.28
p38,2e,-10.7,-9.714117647058826,0.19
p38,2ee,-12.26,-10.114117647058825,0.16
p38,2f,-8.48,-10.284117647058824,0.17
p38,2ff,-11.44,-11.444117647058825,0.17
p38,2g,-10.66,-11.094117647058825,0.28
p38,2gg,-10.66,-10.104117647058825,0.31
p38,2h,-9.48,-6.334117647058825,0.48
p38,2i,-10.05,-10.594117647058825,0.34
p38,2j,-10.08,-10.514117647058825,0.16
p38,2k,-10.55,-10.204117647058824,0.37
p38,2l,-12.26,-13.534117647058824,0.35
p38,2m,-10.96,-12.384117647058826,0.35
p38,2n,-11.85,-12.074117647058825,0.25
p38,2o,-10.49,-11.874117647058824,0.52
p38,2p,-11.2,-11.934117647058825,0.38
p38,2q,-12.26,-12.484117647058826,0.79
p38,2r,-10.79,-10.674117647058825,0.32
p38,2s,-11.11,-12.404117647058825,0.6
p38,2t,-11.85,-12.364117647058825,0.54
p38,2u,-12.26,-12.544117647058826,0.94
p38,2v,-8.97,-7.964117647058825,0.17
p38,2x,-10.23,-9.244117647058825,0.26
p38,2y,-9.78,-9.374117647058824,0.2
p38,2z,-10.36,-9.394117647058826,0.18
p38,3fln,-10.88,-11.194117647058825,0.14
p38,3flq,-9.93,-9.584117647058825,0.55
p38,3flw,-10.68,-10.704117647058824,0.38
p38,3fly,-11.42,-10.744117647058825,0.26
p38,3flz,-9.49,-10.214117647058826,0.28
p38,3fmh,-10.83,-10.924117647058825,0.27
p38,3fmk,-11.83,-12.474117647058826,0.18
